1;89;WebMoney WMZ;WMZ;840;1;1000000110000110000011111101000010111000100000000001000000000000000000000000000000100000011000001111111111000111001010000000010011000010001100000000000100001111110001001000000010000001001001010000000100000000000000000001100000010101001111101111001001111101111111111110000000000000000000000000000000000000000000000000000000
2;80;Terra (LUNA);LUNA;1022;0;1011111111111111111111111111101110111111111011111111111101111111111111111111111011111111000000000100000111000110110000011110000000000010011111110100100010001111111111101111101111111101111111111111111111111111111110100111101110111101111111111111111111111111111101111111111111111010000000000000000000000000000000000000000000
3;90;WebMoney WME;WME;978;1;1000000110000110000011111101000010111000100000000001000000000000000000000000000000100000100000000101000110000101001000000000010011000010000000000000000000001011010001000000000010000000000000000000000000000000000000000000000000000000000000000000000001111101111100000000000000000000000000000000000000000000000000000000000000
4;262;Беларусбанк BYN;BYN БелБанк;974;3;1000100100001111101111110100000010010000000000000101000000000000000101100000000001100100000000000100000101000110000010100000000000001100000000000000010000001110001110101001110101100001011000000000000000000000000000000000100000010101001111101011111100000000000000000000001101100000000000000000000000000000000000000000000000
55;249;Приват 24 USD;USD Приват24;840;3;1001100100001111110111111110000011110000001000010111000101000000000010100000100010110000000000000100000000000100111011100010000000000001111100111100000000000001110111001010010110101101011010101011011110101111011000000011100000010001000000001000000000111001001100111111101101111010000010000000000000000000000000000000000000
6;97;ЮMoney RUB;RUB ЮMoney;643;1;1110100111101111111111111111100010111110001000010111100001100101111111111100100010111111100000000101000111011111110000000000000000000010001100000000000000001111110100001100000111000001000010110000000000000000000000000010100000010101001111111111111101111101111101110100001100100000000000000000000000000000000000000000000000
7;204;Банковский счет BGN;BGN Банк;975;2;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
42;228;Сбербанк RUB;RUB Сбербанк;643;3;1111111111111111111111111111101111111111111111111111111111111111111111111111111111111111100000001101101111011111111011111110010000001111111111111110110010101111111111111111111111111111111110111111111111111111111110110111110110000111101111111111111101111101111111111111111111111110000010100000001000000010000000100000000001
48;54;OMG Network (OMG);OMG;1028;0;1011111111111111111111111111101110111111111011111111111101111111111111111111111111111111000000000101111111000111110000011110000000000010011111110110100011001111111111101111111111111111111111111111111111111111111110100111101110111111111111111111111111111111111111111111111111111010000000101000010010000100000010100000000000
15;278;WU EUR;EUR WU;978;4;1000000100000101000011111101100010101100001000000000000000000000000000100000000000100000000000000000000000000100000000000000000000000000000000000000000000000100000000000000000000000001000001000000000000000000000000000000100000010101001001101000100000000000000000000000000000000000000000000000000000000000000000000000000000
18;295;Наличные TRY;TRY Наличными;949;5;1010100110001111111011111001000010110000001000010101000001000000111111101010100000101011000000000000000100000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19;58;BNB BEP20 (BNB);BNB BEP20;1032;0;1111111111111111111111111111101110111111111011111111111111111111111111111111111111111111100010001101101111011111111011111110000000001110111111111110110000001111111111111111111111111111111111111111111111111111111110100111101110111111111111111111111111111111111111111111111111111010000000111100111000010010000000100010000100
20;109;Volet TRY;TRY Volet;949;1;0000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100001000000000010000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
43;3;Bitcoin BEP20 (BTCB);BTCB BEP20;1050;0;1011111111111111111111111111101110111111111011111111111111111111111111111111111111111111100010001101101111000111110011111110000000000010111111110000100000001111111111111111101111111111111111111111111111111111111110100111100110111111111111111111111111111111111111111111111111111010000000111000011000000010000000100000000000
51;235;ВТБ RUB;RUB ВТБ;643;3;1111111111111111111111111111101111111111111011111111111111111111111111111111111111111111100000001101101111011111110011111110000000001101111111111010110010001111111111111111111111111111111110101111111111111111111110110111110110010111100111111111111101111101111111111111111111111110000000100000000000000000000000000000000001
47;38;USDC ARBITRUM (USDC);USDC ARB;840;0;1011111111111111111111111111101110111111111010111111111101111111111111111111111111111111100000001101101111000111000011100010000000000110101100001110110000001111111111111111111111101011111111111111011100100000000000000011100000111111111111111111111111111101111101111111111111110000000000111000000000000000000000000000000000
40;93;Perfect Money USD;USD PM;840;1;0000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000
41;94;Perfect Money EUR;EUR PM;978;1;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
45;98;PayPal USD;USD PayPal;840;1;1000100100001111111111111000000010000001000100000111100101100101111111111111111010000000100000001000000111000000110000000000000000000000000000000000000000001111010000001000000100100001011000000000000000000000010000000000100000010101001111101111111101111101100000111100000000000000000000100000000000000000000000000000000000
50;155;Exmo USDT;USDT Exmo;840;1;1000000000000101000001000000000000000000000000000000000000000000000000000000000000000000100000000000000111000111000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000010101001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
52;230;Альфа-Банк RUB;RUB Альфа-Банк;643;3;1111111111111111111111111111101111111111111011111111111111111111111111111111111111111111100000001101101111011111110011111110000000001101111111111010110010101111111111111111111111111111111110111111111111111111111110110111100110010011101111111111111101111101111111111111111111111110000000100000000000000010000000000000000001
53;238;Промсвязьбанк RUB;RUB ПСБанк;643;3;1111111111111111111111111111101111111111111011111111111111111111111111111111111111111111100000001101101111011111110011111110010000001101111111110000110000001111111111111111111111111111111110101111111111111111111110110111110110010111101110111111111101111101111111111111111111111110000000000000000000000000000000000000000000
49;150;Счет телефона RUB;RUB Баланс;643;1;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
54;161;Банковская карта BYN;BYN Карта;974;2;1000100100001111101111110100000010010000000000000101000000000000000101100000000001100100000000000100000101000110000010100000000000001100000000000000010000001110001110101001110101100001011000000000000000000000000000000000100000010101001111101011111100000000000000000000001101100000000000000000000000000000000000000000000000
56;250;Приват 24 UAH;UAH Приват24;980;3;1111100111101111111111111111100011111111101001110111010101101101111111111011111010111111100000001101000110000111110011100010010000000011111100111110000001001111110110101110010111001101111010101011011110101111011000000011110000010101001111111111111110111011001100111111111101111010000010000000000000000000000000000000000001
44;113;Skrill USD;USD Skrill;840;1;1001111110001111111111111111101111110001011100010111100111100101111111111111111010110010100000001101101111000111011011110010000000001101111100111110010000001111111111101111111111101101011010101111011110101111011000000011100000010101001111101111111101111101101100111111111111111010000010100000000000000000000000000000000000
58;157;Банковская карта USD;USD Карта;840;2;1001100110001111111111111111000011111111101011111111010101100101111111111111111010111111110000000100000110000101110000000010010111000011111111111110010010001111110111111110010111100101011111111111111110101111111110010011100000010101001111111111101111111101111111111111111111111010000010000000000000000000000000000000000000
59;158;Банковская карта RUB;RUB Карта;643;2;1111111111111111111111111111101111111111111011111111111111111111111111111111111111111111100000001101101111011111110011111110000000001111111111111010110010001011111111111111111111111111111110111111111111111111111110110111110110010111101111111111111101111101111111111111111111111110000000100000000000000000000000100000000001
